"health_officer_region","county","mmwr_year","mmwr_week","start_date","end_date","mnth_lbl","total_ca_pop","total_cnty_pop","cumulative_infected","cumulative_severe","new_infections","new_severe","cum_rate_100k","inf_rate_100k","sev_rate_100k"
"Central California","Kings",2023,25,2023-06-18,2023-06-24,"Jun",39109070,152405,10,0,298,4,6.6,195.5,2.6
"Central California","Kings",2023,26,2023-06-25,2023-07-01,"Jun",39109070,152405,19,0,469,2,12.5,307.7,1.3
"Central California","Kings",2023,27,2023-07-02,2023-07-08,"Jul",39109070,152405,35,0,554,7,23,363.5,4.6
"Central California","Kings",2023,28,2023-07-09,2023-07-15,"Jul",39109070,152405,44,1,746,10,28.9,489.5,6.6
"Central California","Kings",2023,29,2023-07-16,2023-07-22,"Jul",39109070,152405,54,1,572,7,35.4,375.3,4.6
"Central California","Kings",2023,30,2023-07-23,2023-07-29,"Jul",39109070,152405,68,1,609,19,44.6,399.6,12.5
"Central California","Kings",2023,31,2023-07-30,2023-08-05,"Jul",39109070,152405,82,1,1026,9,53.8,673.2,5.9
"Central California","Kings",2023,32,2023-08-06,2023-08-12,"Aug",39109070,152405,95,1,988,12,62.3,648.3,7.9
"Central California","Kings",2023,33,2023-08-13,2023-08-19,"Aug",39109070,152405,122,1,1311,21,80,860.2,13.8
"Central California","Kings",2023,34,2023-08-20,2023-08-26,"Aug",39109070,152405,154,1,1994,22,101,1308.4,14.4
"Central California","Kings",2023,35,2023-08-27,2023-09-02,"Aug",39109070,152405,194,1,3056,23,127.3,2005.2,15.1
"Central California","Kings",2023,36,2023-09-03,2023-09-09,"Sep",39109070,152405,230,1,2965,39,150.9,1945.5,25.6
"Central California","Kings",2023,37,2023-09-10,2023-09-16,"Sep",39109070,152405,266,1,2718,67,174.5,1783.4,44
"Central California","Kings",2023,38,2023-09-17,2023-09-23,"Sep",39109070,152405,309,1,2921,78,202.7,1916.6,51.2
"Central California","Kings",2023,39,2023-09-24,2023-09-30,"Sep",39109070,152405,348,1,2454,64,228.3,1610.2,42
"Central California","Kings",2023,40,2023-10-01,2023-10-07,"Oct",39109070,152405,395,1,2421,67,259.2,1588.5,44
"Central California","Kings",2023,41,2023-10-08,2023-10-14,"Oct",39109070,152405,433,1,2394,57,284.1,1570.8,37.4
"Central California","Kings",2023,42,2023-10-15,2023-10-21,"Oct",39109070,152405,469,1,2314,66,307.7,1518.3,43.3
"Central California","Kings",2023,43,2023-10-22,2023-10-28,"Oct",39109070,152405,508,1,1919,61,333.3,1259.1,40
"Central California","Kings",2023,44,2023-10-29,2023-11-04,"Oct",39109070,152405,530,1,1312,56,347.8,860.9,36.7
"Central California","Kings",2023,45,2023-11-05,2023-11-11,"Nov",39109070,152405,537,1,955,35,352.4,626.6,23
"Central California","Kings",2023,46,2023-11-12,2023-11-18,"Nov",39109070,152405,544,1,314,26,356.9,206,17.1
"Central California","Kings",2023,47,2023-11-19,2023-11-25,"Nov",39109070,152405,546,1,45,29,358.3,29.5,19
"Central California","Kings",2023,48,2023-11-26,2023-12-02,"Nov",39109070,152405,548,1,70,10,359.6,45.9,6.6
"Central California","Kings",2023,49,2023-12-03,2023-12-09,"Dec",39109070,152405,548,1,0,5,359.6,0,3.3
"Central California","Kings",2023,50,2023-12-10,2023-12-16,"Dec",39109070,152405,548,1,60,3,359.6,39.4,2
"Central California","Kings",2023,51,2023-12-17,2023-12-23,"Dec",39109070,152405,548,1,0,0,359.6,0,0
"Central California","Kings",2023,52,2023-12-24,2023-12-30,"Dec",39109070,152405,548,1,0,2,359.6,0,1.3
"Central California","Madera",2023,22,2023-05-28,2023-06-03,"May",39109070,158457,0,0,56,0,0,35.3,0
"Central California","Madera",2023,23,2023-06-04,2023-06-10,"Jun",39109070,158457,0,0,56,0,0,35.3,0
"Central California","Madera",2023,24,2023-06-11,2023-06-17,"Jun",39109070,158457,1,0,47,2,0.6,29.7,1.3
"Central California","Madera",2023,25,2023-06-18,2023-06-24,"Jun",39109070,158457,1,0,118,1,0.6,74.5,0.6
"Central California","Madera",2023,26,2023-06-25,2023-07-01,"Jun",39109070,158457,4,0,226,2,2.5,142.6,1.3
"Central California","Madera",2023,27,2023-07-02,2023-07-08,"Jul",39109070,158457,6,0,231,3,3.8,145.8,1.9
"Central California","Madera",2023,28,2023-07-09,2023-07-15,"Jul",39109070,158457,10,0,312,6,6.3,196.9,3.8
"Central California","Madera",2023,29,2023-07-16,2023-07-22,"Jul",39109070,158457,13,0,243,8,8.2,153.4,5
"Central California","Madera",2023,30,2023-07-23,2023-07-29,"Jul",39109070,158457,16,0,256,7,10.1,161.6,4.4
"Central California","Madera",2023,31,2023-07-30,2023-08-05,"Jul",39109070,158457,20,0,460,9,12.6,290.3,5.7
"Central California","Madera",2023,32,2023-08-06,2023-08-12,"Aug",39109070,158457,30,0,464,6,18.9,292.8,3.8
"Central California","Madera",2023,33,2023-08-13,2023-08-19,"Aug",39109070,158457,36,0,628,17,22.7,396.3,10.7
"Central California","Madera",2023,34,2023-08-20,2023-08-26,"Aug",39109070,158457,43,0,831,13,27.1,524.4,8.2
"Central California","Madera",2023,35,2023-08-27,2023-09-02,"Aug",39109070,158457,58,0,1436,18,36.6,906.2,11.4
"Central California","Madera",2023,36,2023-09-03,2023-09-09,"Sep",39109070,158457,80,0,1437,17,50.5,906.9,10.7
"Central California","Madera",2023,37,2023-09-10,2023-09-16,"Sep",39109070,158457,96,1,1274,44,60.6,804,27.8
"Central California","Madera",2023,38,2023-09-17,2023-09-23,"Sep",39109070,158457,109,1,1461,43,68.8,922,27.1
"Central California","Madera",2023,39,2023-09-24,2023-09-30,"Sep",39109070,158457,119,1,1208,33,75.1,762.4,20.8
"Central California","Madera",2023,40,2023-10-01,2023-10-07,"Oct",39109070,158457,131,1,1288,41,82.7,812.8,25.9
"Central California","Madera",2023,41,2023-10-08,2023-10-14,"Oct",39109070,158457,146,1,1217,33,92.1,768,20.8
"Central California","Madera",2023,42,2023-10-15,2023-10-21,"Oct",39109070,158457,160,1,1209,35,101,763,22.1
"Central California","Madera",2023,43,2023-10-22,2023-10-28,"Oct",39109070,158457,171,1,1094,29,107.9,690.4,18.3
"Central California","Madera",2023,44,2023-10-29,2023-11-04,"Oct",39109070,158457,179,1,656,24,113,414,15.1
"Central California","Madera",2023,45,2023-11-05,2023-11-11,"Nov",39109070,158457,185,1,488,25,116.8,308,15.8
"Central California","Madera",2023,46,2023-11-12,2023-11-18,"Nov",39109070,158457,186,1,159,13,117.4,100.3,8.2
"Central California","Madera",2023,47,2023-11-19,2023-11-25,"Nov",39109070,158457,186,1,21,8,117.4,13.3,5
"Central California","Madera",2023,48,2023-11-26,2023-12-02,"Nov",39109070,158457,186,1,35,6,117.4,22.1,3.8
"Central California","Madera",2023,49,2023-12-03,2023-12-09,"Dec",39109070,158457,186,1,0,2,117.4,0,1.3
"Central California","Madera",2023,50,2023-12-10,2023-12-16,"Dec",39109070,158457,186,1,32,0,117.4,20.2,0
"Central California","Madera",2023,51,2023-12-17,2023-12-23,"Dec",39109070,158457,186,1,0,0,117.4,0,0
"Central California","Madera",2023,52,2023-12-24,2023-12-30,"Dec",39109070,158457,186,1,0,3,117.4,0,1.9
"Central California","Mariposa",2023,22,2023-05-28,2023-06-03,"May",39109070,16860,0,0,5,0,0,29.7,0
"Central California","Mariposa",2023,23,2023-06-04,2023-06-10,"Jun",39109070,16860,0,0,7,0,0,41.5,0
"Central California","Mariposa",2023,24,2023-06-11,2023-06-17,"Jun",39109070,16860,0,0,9,0,0,53.4,0
"Central California","Mariposa",2023,25,2023-06-18,2023-06-24,"Jun",39109070,16860,0,0,10,0,0,59.3,0
"Central California","Mariposa",2023,26,2023-06-25,2023-07-01,"Jun",39109070,16860,0,0,26,1,0,154.2,5.9
"Central California","Mariposa",2023,27,2023-07-02,2023-07-08,"Jul",39109070,16860,0,0,36,0,0,213.5,0
"Central California","Mariposa",2023,28,2023-07-09,2023-07-15,"Jul",39109070,16860,0,0,44,1,0,261,5.9
"Central California","Mariposa",2023,29,2023-07-16,2023-07-22,"Jul",39109070,16860,0,0,31,1,0,183.9,5.9
"Central California","Mariposa",2023,30,2023-07-23,2023-07-29,"Jul",39109070,16860,0,0,30,3,0,177.9,17.8
"Central California","Mariposa",2023,31,2023-07-30,2023-08-05,"Jul",39109070,16860,0,0,51,0,0,302.5,0
"Central California","Mariposa",2023,32,2023-08-06,2023-08-12,"Aug",39109070,16860,0,0,53,0,0,314.4,0
"Central California","Mariposa",2023,33,2023-08-13,2023-08-19,"Aug",39109070,16860,1,0,73,4,5.9,433,23.7
"Central California","Mariposa",2023,34,2023-08-20,2023-08-26,"Aug",39109070,16860,1,0,111,6,5.9,658.4,35.6
"Central California","Mariposa",2023,35,2023-08-27,2023-09-02,"Aug",39109070,16860,5,0,145,6,29.7,860,35.6
"Central California","Mariposa",2023,36,2023-09-03,2023-09-09,"Sep",39109070,16860,6,0,148,3,35.6,877.8,17.8
"Central California","Mariposa",2023,37,2023-09-10,2023-09-16,"Sep",39109070,16860,9,0,145,6,53.4,860,35.6
"Central California","Mariposa",2023,38,2023-09-17,2023-09-23,"Sep",39109070,16860,10,0,171,3,59.3,1014.2,17.8
"Central California","Mariposa",2023,39,2023-09-24,2023-09-30,"Sep",39109070,16860,13,0,136,6,77.1,806.6,35.6
"Central California","Mariposa",2023,40,2023-10-01,2023-10-07,"Oct",39109070,16860,14,0,148,9,83,877.8,53.4
"Central California","Mariposa",2023,41,2023-10-08,2023-10-14,"Oct",39109070,16860,14,0,141,4,83,836.3,23.7
"Central California","Mariposa",2023,42,2023-10-15,2023-10-21,"Oct",39109070,16860,16,0,143,7,94.9,848.2,41.5
"Central California","Mariposa",2023,43,2023-10-22,2023-10-28,"Oct",39109070,16860,17,0,88,6,100.8,521.9,35.6
"Central California","Mariposa",2023,44,2023-10-29,2023-11-04,"Oct",39109070,16860,19,0,62,3,112.7,367.7,17.8
"Central California","Mariposa",2023,45,2023-11-05,2023-11-11,"Nov",39109070,16860,21,0,59,4,124.6,349.9,23.7
"Central California","Mariposa",2023,46,2023-11-12,2023-11-18,"Nov",39109070,16860,21,0,20,2,124.6,118.6,11.9
"Central California","Mariposa",2023,47,2023-11-19,2023-11-25,"Nov",39109070,16860,21,0,2,1,124.6,11.9,5.9
"Central California","Mariposa",2023,48,2023-11-26,2023-12-02,"Nov",39109070,16860,21,0,3,1,124.6,17.8,5.9
"Central California","Mariposa",2023,49,2023-12-03,2023-12-09,"Dec",39109070,16860,21,0,0,0,124.6,0,0
"Central California","Mariposa",2023,50,2023-12-10,2023-12-16,"Dec",39109070,16860,21,0,3,0,124.6,17.8,0
"Central California","Mariposa",2023,51,2023-12-17,2023-12-23,"Dec",39109070,16860,21,0,0,0,124.6,0,0
"Central California","Mariposa",2023,52,2023-12-24,2023-12-30,"Dec",39109070,16860,21,0,0,0,124.6,0,0
"Central California","Merced",2023,22,2023-05-28,2023-06-03,"May",39109070,285600,5,0,206,0,1.8,72.1,0
"Central California","Merced",2023,23,2023-06-04,2023-06-10,"Jun",39109070,285600,7,0,224,0,2.5,78.4,0
"Central California","Merced",2023,24,2023-06-11,2023-06-17,"Jun",39109070,285600,12,0,145,4,4.2,50.8,1.4
"Central California","Merced",2023,25,2023-06-18,2023-06-24,"Jun",39109070,285600,16,0,510,4,5.6,178.6,1.4
"Central California","Merced",2023,26,2023-06-25,2023-07-01,"Jun",39109070,285600,24,0,903,2,8.4,316.2,0.7
"Central California","Merced",2023,27,2023-07-02,2023-07-08,"Jul",39109070,285600,42,0,1026,10,14.7,359.2,3.5
"Central California","Merced",2023,28,2023-07-09,2023-07-15,"Jul",39109070,285600,53,0,1378,22,18.6,482.5,7.7
"Central California","Merced",2023,29,2023-07-16,2023-07-22,"Jul",39109070,285600,65,0,1070,31,22.8,374.6,10.9
"Central California","Merced",2023,30,2023-07-23,2023-07-29,"Jul",39109070,285600,77,0,1117,36,27,391.1,12.6
"Central California","Merced",2023,31,2023-07-30,2023-08-05,"Jul",39109070,285600,96,0,2011,21,33.6,704.1,7.4
"Central California","Merced",2023,32,2023-08-06,2023-08-12,"Aug",39109070,285600,117,0,2030,23,41,710.8,8.1
"Central California","Merced",2023,33,2023-08-13,2023-08-19,"Aug",39109070,285600,139,0,2481,51,48.7,868.7,17.9
"Central California","Merced",2023,34,2023-08-20,2023-08-26,"Aug",39109070,285600,177,0,3611,48,62,1264.4,16.8
"Central California","Merced",2023,35,2023-08-27,2023-09-02,"Aug",39109070,285600,243,0,5688,45,85.1,1991.6,15.8
"Central California","Merced",2023,36,2023-09-03,2023-09-09,"Sep",39109070,285600,296,0,5487,76,103.6,1921.2,26.6
"Central California","Merced",2023,37,2023-09-10,2023-09-16,"Sep",39109070,285600,349,0,5004,104,122.2,1752.1,36.4
"Central California","Merced",2023,38,2023-09-17,2023-09-23,"Sep",39109070,285600,400,0,5516,144,140.1,1931.4,50.4
"Central California","Merced",2023,39,2023-09-24,2023-09-30,"Sep",39109070,285600,457,0,4499,123,160,1575.3,43.1
"Central California","Merced",2023,40,2023-10-01,2023-10-07,"Oct",39109070,285600,518,0,4587,129,181.4,1606.1,45.2
"Central California","Merced",2023,41,2023-10-08,2023-10-14,"Oct",39109070,285600,555,0,4370,117,194.3,1530.1,41
"Central California","Merced",2023,42,2023-10-15,2023-10-21,"Oct",39109070,285600,602,0,4472,107,210.8,1565.8,37.5
"Central California","Merced",2023,43,2023-10-22,2023-10-28,"Oct",39109070,285600,658,0,3465,96,230.4,1213.2,33.6
"Central California","Merced",2023,44,2023-10-29,2023-11-04,"Oct",39109070,285600,693,0,2396,104,242.6,838.9,36.4
"Central California","Merced",2023,45,2023-11-05,2023-11-11,"Nov",39109070,285600,718,0,1557,93,251.4,545.2,32.6
"Central California","Merced",2023,46,2023-11-12,2023-11-18,"Nov",39109070,285600,728,0,547,79,254.9,191.5,27.7
"Central California","Merced",2023,47,2023-11-19,2023-11-25,"Nov",39109070,285600,730,0,85,51,255.6,29.8,17.9
"Central California","Merced",2023,48,2023-11-26,2023-12-02,"Nov",39109070,285600,731,0,107,8,256,37.5,2.8
"Central California","Merced",2023,49,2023-12-03,2023-12-09,"Dec",39109070,285600,731,0,0,2,256,0,0.7
"Central California","Merced",2023,50,2023-12-10,2023-12-16,"Dec",39109070,285600,733,0,99,2,256.7,34.7,0.7
"Central California","Merced",2023,51,2023-12-17,2023-12-23,"Dec",39109070,285600,733,0,0,1,256.7,0,0.4
"Central California","Merced",2023,52,2023-12-24,2023-12-30,"Dec",39109070,285600,733,0,0,3,256.7,0,1.1
"Central California","San Joaquin",2023,22,2023-05-28,2023-06-03,"May",39109070,784528,5,0,475,0,0.6,60.5,0
"Central California","San Joaquin",2023,23,2023-06-04,2023-06-10,"Jun",39109070,784528,8,0,454,0,1,57.9,0
"Central California","San Joaquin",2023,24,2023-06-11,2023-06-17,"Jun",39109070,784528,9,0,409,18,1.1,52.1,2.3
"Central California","San Joaquin",2023,25,2023-06-18,2023-06-24,"Jun",39109070,784528,19,0,1203,15,2.4,153.3,1.9
"Central California","San Joaquin",2023,26,2023-06-25,2023-07-01,"Jun",39109070,784528,37,0,2033,16,4.7,259.1,2
"Central California","San Joaquin",2023,27,2023-07-02,2023-07-08,"Jul",39109070,784528,58,0,2423,24,7.4,308.8,3.1
"Central California","San Joaquin",2023,28,2023-07-09,2023-07-15,"Jul",39109070,784528,95,0,3110,53,12.1,396.4,6.8
"Central California","San Joaquin",2023,29,2023-07-16,2023-07-22,"Jul",39109070,784528,124,0,2452,51,15.8,312.5,6.5
"Central California","San Joaquin",2023,30,2023-07-23,2023-07-29,"Jul",39109070,784528,141,0,2677,68,18,341.2,8.7
"Central California","San Joaquin",2023,31,2023-07-30,2023-08-05,"Jul",39109070,784528,199,0,4417,62,25.4,563,7.9
"Central California","San Joaquin",2023,32,2023-08-06,2023-08-12,"Aug",39109070,784528,249,0,4400,81,31.7,560.8,10.3
"Central California","San Joaquin",2023,33,2023-08-13,2023-08-19,"Aug",39109070,784528,309,0,5683,114,39.4,724.4,14.5
"Central California","San Joaquin",2023,34,2023-08-20,2023-08-26,"Aug",39109070,784528,405,0,8371,107,51.6,1067,13.6
"Central California","San Joaquin",2023,35,2023-08-27,2023-09-02,"Aug",39109070,784528,557,0,12803,132,71,1631.9,16.8
"Central California","San Joaquin",2023,36,2023-09-03,2023-09-09,"Sep",39109070,784528,704,0,12613,192,89.7,1607.7,24.5
"Central California","San Joaquin",2023,37,2023-09-10,2023-09-16,"Sep",39109070,784528,825,0,11539,294,105.2,1470.8,37.5
"Central California","San Joaquin",2023,38,2023-09-17,2023-09-23,"Sep",39109070,784528,987,1,12949,345,125.8,1650.5,44
"Central California","San Joaquin",2023,39,2023-09-24,2023-09-30,"Sep",39109070,784528,1124,1,10627,288,143.3,1354.6,36.7
"Central California","San Joaquin",2023,40,2023-10-01,2023-10-07,"Oct",39109070,784528,1256,1,10717,362,160.1,1366,46.1
"Central California","San Joaquin",2023,41,2023-10-08,2023-10-14,"Oct",39109070,784528,1382,2,10511,250,176.2,1339.8,31.9
"Central California","San Joaquin",2023,42,2023-10-15,2023-10-21,"Oct",39109070,784528,1516,3,10316,278,193.2,1314.9,35.4
"Central California","San Joaquin",2023,43,2023-10-22,2023-10-28,"Oct",39109070,784528,1598,3,8435,277,203.7,1075.2,35.3
"Central California","San Joaquin",2023,44,2023-10-29,2023-11-04,"Oct",39109070,784528,1660,3,5502,255,211.6,701.3,32.5
"Central California","San Joaquin",2023,45,2023-11-05,2023-11-11,"Nov",39109070,784528,1707,3,4063,219,217.6,517.9,27.9
"Central California","San Joaquin",2023,46,2023-11-12,2023-11-18,"Nov",39109070,784528,1725,3,1378,156,219.9,175.6,19.9
"Central California","San Joaquin",2023,47,2023-11-19,2023-11-25,"Nov",39109070,784528,1726,3,178,102,220,22.7,13
"Central California","San Joaquin",2023,48,2023-11-26,2023-12-02,"Nov",39109070,784528,1729,3,250,49,220.4,31.9,6.2
"Central California","San Joaquin",2023,49,2023-12-03,2023-12-09,"Dec",39109070,784528,1729,3,0,15,220.4,0,1.9
"Central California","San Joaquin",2023,50,2023-12-10,2023-12-16,"Dec",39109070,784528,1732,3,273,5,220.8,34.8,0.6
"Central California","San Joaquin",2023,51,2023-12-17,2023-12-23,"Dec",39109070,784528,1732,3,0,0,220.8,0,0
"Central California","San Joaquin",2023,52,2023-12-24,2023-12-30,"Dec",39109070,784528,1732,3,0,7,220.8,0,0.9
"Central California","Stanislaus",2023,22,2023-05-28,2023-06-03,"May",39109070,545704,8,0,335,0,1.5,61.4,0
"Central California","Stanislaus",2023,23,2023-06-04,2023-06-10,"Jun",39109070,545704,12,0,365,0,2.2,66.9,0
"Central California","Stanislaus",2023,24,2023-06-11,2023-06-17,"Jun",39109070,545704,17,0,297,10,3.1,54.4,1.8
"Central California","Stanislaus",2023,25,2023-06-18,2023-06-24,"Jun",39109070,545704,32,0,884,5,5.9,162,0.9
"Central California","Stanislaus",2023,26,2023-06-25,2023-07-01,"Jun",39109070,545704,49,0,1480,7,9,271.2,1.3
"Central California","Stanislaus",2023,27,2023-07-02,2023-07-08,"Jul",39109070,545704,65,0,1728,21,11.9,316.7,3.8
"Central California","Stanislaus",2023,28,2023-07-09,2023-07-15,"Jul",39109070,545704,89,0,2327,32,16.3,426.4,5.9
"Central California","Stanislaus",2023,29,2023-07-16,2023-07-22,"Jul",39109070,545704,112,0,1711,34,20.5,313.5,6.2
"Central California","Stanislaus",2023,30,2023-07-23,2023-07-29,"Jul",39109070,545704,140,0,1820,52,25.7,333.5,9.5
"Central California","Stanislaus",2023,31,2023-07-30,2023-08-05,"Jul",39109070,545704,188,0,3242,57,34.5,594.1,10.4
"Central California","Stanislaus",2023,32,2023-08-06,2023-08-12,"Aug",39109070,545704,235,0,3332,46,43.1,610.6,8.4
"Central California","Stanislaus",2023,33,2023-08-13,2023-08-19,"Aug",39109070,545704,316,0,4119,92,57.9,754.8,16.9
"Central California","Stanislaus",2023,34,2023-08-20,2023-08-26,"Aug",39109070,545704,407,0,6058,85,74.6,1110.1,15.6
"Central California","Stanislaus",2023,35,2023-08-27,2023-09-02,"Aug",39109070,545704,554,1,9375,107,101.5,1718,19.6
"Central California","Stanislaus",2023,36,2023-09-03,2023-09-09,"Sep",39109070,545704,669,1,9089,155,122.6,1665.6,28.4
"Central California","Stanislaus",2023,37,2023-09-10,2023-09-16,"Sep",39109070,545704,784,1,8467,242,143.7,1551.6,44.3
"Central California","Stanislaus",2023,38,2023-09-17,2023-09-23,"Sep",39109070,545704,914,1,9520,255,167.5,1744.5,46.7
"Central California","Stanislaus",2023,39,2023-09-24,2023-09-30,"Sep",39109070,545704,1025,1,7671,230,187.8,1405.7,42.1
"Central California","Stanislaus",2023,40,2023-10-01,2023-10-07,"Oct",39109070,545704,1128,1,7655,253,206.7,1402.8,46.4
"Central California","Stanislaus",2023,41,2023-10-08,2023-10-14,"Oct",39109070,545704,1255,1,7463,210,230,1367.6,38.5
"Central California","Stanislaus",2023,42,2023-10-15,2023-10-21,"Oct",39109070,545704,1374,1,7501,195,251.8,1374.6,35.7
"Central California","Stanislaus",2023,43,2023-10-22,2023-10-28,"Oct",39109070,545704,1472,3,6059,187,269.7,1110.3,34.3
"Central California","Stanislaus",2023,44,2023-10-29,2023-11-04,"Oct",39109070,545704,1528,3,3976,207,280,728.6,37.9
"Central California","Stanislaus",2023,45,2023-11-05,2023-11-11,"Nov",39109070,545704,1571,3,2885,149,287.9,528.7,27.3
"Central California","Stanislaus",2023,46,2023-11-12,2023-11-18,"Nov",39109070,545704,1592,3,1030,97,291.7,188.7,17.8
"Central California","Stanislaus",2023,47,2023-11-19,2023-11-25,"Nov",39109070,545704,1594,3,137,88,292.1,25.1,16.1
"Central California","Stanislaus",2023,48,2023-11-26,2023-12-02,"Nov",39109070,545704,1600,3,165,42,293.2,30.2,7.7
"Central California","Stanislaus",2023,49,2023-12-03,2023-12-09,"Dec",39109070,545704,1600,3,0,15,293.2,0,2.7
"Central California","Stanislaus",2023,50,2023-12-10,2023-12-16,"Dec",39109070,545704,1604,3,181,4,293.9,33.2,0.7
"Central California","Stanislaus",2023,51,2023-12-17,2023-12-23,"Dec",39109070,545704,1604,3,0,1,293.9,0,0.2
"Central California","Stanislaus",2023,52,2023-12-24,2023-12-30,"Dec",39109070,545704,1604,3,0,4,293.9,0,0.7
"Central California","Tulare",2023,22,2023-05-28,2023-06-03,"May",39109070,474792,4,0,345,0,0.8,72.7,0
"Central California","Tulare",2023,23,2023-06-04,2023-06-10,"Jun",39109070,474792,5,0,364,0,1.1,76.7,0
"Central California","Tulare",2023,24,2023-06-11,2023-06-17,"Jun",39109070,474792,7,0,337,2,1.5,71,0.4
"Central California","Tulare",2023,25,2023-06-18,2023-06-24,"Jun",39109070,474792,19,0,902,13,4,190,2.7
"Central California","Tulare",2023,26,2023-06-25,2023-07-01,"Jun",39109070,474792,31,0,1599,6,6.5,336.8,1.3
"Central California","Tulare",2023,27,2023-07-02,2023-07-08,"Jul",39109070,474792,48,0,1859,29,10.1,391.5,6.1
"Central California","Tulare",2023,28,2023-07-09,2023-07-15,"Jul",39109070,474792,82,0,2358,36,17.3,496.6,7.6
"Central California","Tulare",2023,29,2023-07-16,2023-07-22,"Jul",39109070,474792,109,0,1840,54,23,387.5,11.4
"Central California","Tulare",2023,30,2023-07-23,2023-07-29,"Jul",39109070,474792,130,0,1931,61,27.4,406.7,12.8
"Central California","Tulare",2023,31,2023-07-30,2023-08-05,"Jul",39109070,474792,168,0,3403,45,35.4,716.7,9.5
"Central California","Tulare",2023,32,2023-08-06,2023-08-12,"Aug",39109070,474792,202,0,3437,49,42.5,723.9,10.3
"Central California","Tulare",2023,33,2023-08-13,2023-08-19,"Aug",39109070,474792,245,0,4433,78,51.6,933.7,16.4
"Central California","Tulare",2023,34,2023-08-20,2023-08-26,"Aug",39109070,474792,318,0,6467,77,67,1362.1,16.2
"Central California","Tulare",2023,35,2023-08-27,2023-09-02,"Aug",39109070,474792,419,0,9691,78,88.2,2041.1,16.4
"Central California","Tulare",2023,36,2023-09-03,2023-09-09,"Sep",39109070,474792,535,1,9648,132,112.7,2032,27.8
"Central California","Tulare",2023,37,2023-09-10,2023-09-16,"Sep",39109070,474792,639,1,8748,212,134.6,1842.5,44.7
"Central California","Tulare",2023,38,2023-09-17,2023-09-23,"Sep",39109070,474792,740,1,9670,227,155.9,2036.7,47.8
"Central California","Tulare",2023,39,2023-09-24,2023-09-30,"Sep",39109070,474792,844,1,7906,203,177.8,1665.2,42.8
"Central California","Tulare",2023,40,2023-10-01,2023-10-07,"Oct",39109070,474792,941,1,7899,225,198.2,1663.7,47.4
"Central California","Tulare",2023,41,2023-10-08,2023-10-14,"Oct",39109070,474792,1030,1,7538,196,216.9,1587.6,41.3
"Central California","Tulare",2023,42,2023-10-15,2023-10-21,"Oct",39109070,474792,1118,1,7566,182,235.5,1593.5,38.3
"Central California","Tulare",2023,43,2023-10-22,2023-10-28,"Oct",39109070,474792,1179,1,6028,186,248.3,1269.6,39.2
"Central California","Tulare",2023,44,2023-10-29,2023-11-04,"Oct",39109070,474792,1254,1,4053,172,264.1,853.6,36.2
"Central California","Tulare",2023,45,2023-11-05,2023-11-11,"Nov",39109070,474792,1291,1,2926,145,271.9,616.3,30.5
"Central California","Tulare",2023,46,2023-11-12,2023-11-18,"Nov",39109070,474792,1308,1,1029,115,275.5,216.7,24.2
"Central California","Tulare",2023,47,2023-11-19,2023-11-25,"Nov",39109070,474792,1312,1,143,98,276.3,30.1,20.6
"Central California","Tulare",2023,48,2023-11-26,2023-12-02,"Nov",39109070,474792,1318,1,195,24,277.6,41.1,5.1
"Central California","Tulare",2023,49,2023-12-03,2023-12-09,"Dec",39109070,474792,1318,1,0,8,277.6,0,1.7
"Central California","Tulare",2023,50,2023-12-10,2023-12-16,"Dec",39109070,474792,1319,1,184,2,277.8,38.8,0.4
"Central California","Tulare",2023,51,2023-12-17,2023-12-23,"Dec",39109070,474792,1319,1,0,1,277.8,0,0.2
"Central California","Tulare",2023,52,2023-12-24,2023-12-30,"Dec",39109070,474792,1319,1,0,8,277.8,0,1.7
"Central California","Tuolumne",2023,22,2023-05-28,2023-06-03,"May",39109070,53387,0,0,8,0,0,15,0
"Central California","Tuolumne",2023,23,2023-06-04,2023-06-10,"Jun",39109070,53387,0,0,26,0,0,48.7,0
"Central California","Tuolumne",2023,24,2023-06-11,2023-06-17,"Jun",39109070,53387,0,0,12,0,0,22.5,0
"Central California","Tuolumne",2023,25,2023-06-18,2023-06-24,"Jun",39109070,53387,1,0,36,1,1.9,67.4,1.9
"Central California","Tuolumne",2023,26,2023-06-25,2023-07-01,"Jun",39109070,53387,2,0,63,1,3.7,118,1.9
"Central California","Tuolumne",2023,27,2023-07-02,2023-07-08,"Jul",39109070,53387,2,0,78,0,3.7,146.1,0
"Central California","Tuolumne",2023,28,2023-07-09,2023-07-15,"Jul",39109070,53387,3,0,111,2,5.6,207.9,3.7
"Central California","Tuolumne",2023,29,2023-07-16,2023-07-22,"Jul",39109070,53387,6,0,85,5,11.2,159.2,9.4
"Central California","Tuolumne",2023,30,2023-07-23,2023-07-29,"Jul",39109070,53387,6,0,79,6,11.2,148,11.2
"Central California","Tuolumne",2023,31,2023-07-30,2023-08-05,"Jul",39109070,53387,8,0,162,0,15,303.4,0
"Central California","Tuolumne",2023,32,2023-08-06,2023-08-12,"Aug",39109070,53387,13,0,180,6,24.4,337.2,11.2
"Central California","Tuolumne",2023,33,2023-08-13,2023-08-19,"Aug",39109070,53387,16,0,192,4,30,359.6,7.5
"Central California","Tuolumne",2023,34,2023-08-20,2023-08-26,"Aug",39109070,53387,23,0,304,5,43.1,569.4,9.4
