"health_officer_region","county","mmwr_week","start_date","end_date","cumulative_infected","cumulative_severe","total_cnty_pop","inf_rate_100k","sev_rate_100k","case_breaks","inf_rate_breaks","sev_case_breaks","sev_rate_breaks"
"Central California","Kings",32,2023-08-06,2023-08-12,5592,72,152405,366.9,4.7,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Kings",33,2023-08-13,2023-08-19,6903,93,152405,452.9,6.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Kings",34,2023-08-20,2023-08-26,8897,115,152405,583.8,7.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Kings",35,2023-08-27,2023-09-02,11953,138,152405,784.3,9.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Kings",36,2023-09-03,2023-09-09,14918,177,152405,978.8,11.6,"0 - 177K","875 - 2K","0 - 5K","0 - 22"
"Central California","Kings",37,2023-09-10,2023-09-16,17636,244,152405,1157.2,16,"0 - 177K","875 - 2K","0 - 5K","0 - 22"
"Central California","Kings",38,2023-09-17,2023-09-23,20557,322,152405,1348.8,21.1,"0 - 177K","875 - 2K","0 - 5K","0 - 22"
"Central California","Kings",39,2023-09-24,2023-09-30,23011,386,152405,1509.9,25.3,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Kings",40,2023-10-01,2023-10-07,25432,453,152405,1668.7,29.7,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Kings",41,2023-10-08,2023-10-14,27826,510,152405,1825.8,33.5,"0 - 177K","2K - 3K","0 - 5K","22 - 44"
"Central California","Kings",42,2023-10-15,2023-10-21,30140,576,152405,1977.6,37.8,"0 - 177K","2K - 3K","0 - 5K","22 - 44"
"Central California","Kings",43,2023-10-22,2023-10-28,32059,637,152405,2103.5,41.8,"0 - 177K","2K - 3K","0 - 5K","22 - 44"
"Central California","Kings",44,2023-10-29,2023-11-04,33371,693,152405,2189.6,45.5,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Kings",45,2023-11-05,2023-11-11,34326,728,152405,2252.3,47.8,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Kings",46,2023-11-12,2023-11-18,34640,754,152405,2272.9,49.5,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Kings",47,2023-11-19,2023-11-25,34685,783,152405,2275.8,51.4,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Kings",48,2023-11-26,2023-12-02,34755,793,152405,2280.4,52,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Kings",49,2023-12-03,2023-12-09,34755,798,152405,2280.4,52.4,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Kings",50,2023-12-10,2023-12-16,34815,801,152405,2284.4,52.6,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Kings",51,2023-12-17,2023-12-23,34815,801,152405,2284.4,52.6,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Kings",52,2023-12-24,2023-12-30,34815,803,152405,2284.4,52.7,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Madera",22,2023-05-28,2023-06-03,56,0,158457,3.5,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Madera",23,2023-06-04,2023-06-10,112,0,158457,7.1,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Madera",24,2023-06-11,2023-06-17,159,2,158457,10,0.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Madera",25,2023-06-18,2023-06-24,277,3,158457,17.5,0.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Madera",26,2023-06-25,2023-07-01,503,5,158457,31.7,0.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Madera",27,2023-07-02,2023-07-08,734,8,158457,46.3,0.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Madera",28,2023-07-09,2023-07-15,1046,14,158457,66,0.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Madera",29,2023-07-16,2023-07-22,1289,22,158457,81.3,1.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Madera",30,2023-07-23,2023-07-29,1545,29,158457,97.5,1.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Madera",31,2023-07-30,2023-08-05,2005,38,158457,126.5,2.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Madera",32,2023-08-06,2023-08-12,2469,44,158457,155.8,2.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Madera",33,2023-08-13,2023-08-19,3097,61,158457,195.4,3.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Madera",34,2023-08-20,2023-08-26,3928,74,158457,247.9,4.7,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Madera",35,2023-08-27,2023-09-02,5364,92,158457,338.5,5.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Madera",36,2023-09-03,2023-09-09,6801,109,158457,429.2,6.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Madera",37,2023-09-10,2023-09-16,8075,153,158457,509.6,9.7,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Madera",38,2023-09-17,2023-09-23,9536,196,158457,601.8,12.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Madera",39,2023-09-24,2023-09-30,10744,229,158457,678,14.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Madera",40,2023-10-01,2023-10-07,12032,270,158457,759.3,17,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Madera",41,2023-10-08,2023-10-14,13249,303,158457,836.1,19.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Madera",42,2023-10-15,2023-10-21,14458,338,158457,912.4,21.3,"0 - 177K","875 - 2K","0 - 5K","0 - 22"
"Central California","Madera",43,2023-10-22,2023-10-28,15552,367,158457,981.5,23.2,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Madera",44,2023-10-29,2023-11-04,16208,391,158457,1022.9,24.7,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Madera",45,2023-11-05,2023-11-11,16696,416,158457,1053.7,26.3,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Madera",46,2023-11-12,2023-11-18,16855,429,158457,1063.7,27.1,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Madera",47,2023-11-19,2023-11-25,16876,437,158457,1065,27.6,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Madera",48,2023-11-26,2023-12-02,16911,443,158457,1067.2,28,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Madera",49,2023-12-03,2023-12-09,16911,445,158457,1067.2,28.1,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Madera",50,2023-12-10,2023-12-16,16943,445,158457,1069.2,28.1,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Madera",51,2023-12-17,2023-12-23,16943,445,158457,1069.2,28.1,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Madera",52,2023-12-24,2023-12-30,16943,448,158457,1069.2,28.3,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Mariposa",22,2023-05-28,2023-06-03,5,0,16860,3,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Mariposa",23,2023-06-04,2023-06-10,12,0,16860,7.1,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Mariposa",24,2023-06-11,2023-06-17,21,0,16860,12.5,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Mariposa",25,2023-06-18,2023-06-24,31,0,16860,18.4,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Mariposa",26,2023-06-25,2023-07-01,57,1,16860,33.8,0.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Mariposa",27,2023-07-02,2023-07-08,93,1,16860,55.2,0.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Mariposa",28,2023-07-09,2023-07-15,137,2,16860,81.3,1.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Mariposa",29,2023-07-16,2023-07-22,168,3,16860,99.6,1.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Mariposa",30,2023-07-23,2023-07-29,198,6,16860,117.4,3.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Mariposa",31,2023-07-30,2023-08-05,249,6,16860,147.7,3.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Mariposa",32,2023-08-06,2023-08-12,302,6,16860,179.1,3.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Mariposa",33,2023-08-13,2023-08-19,375,10,16860,222.4,5.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Mariposa",34,2023-08-20,2023-08-26,486,16,16860,288.3,9.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Mariposa",35,2023-08-27,2023-09-02,631,22,16860,374.3,13,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Mariposa",36,2023-09-03,2023-09-09,779,25,16860,462,14.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Mariposa",37,2023-09-10,2023-09-16,924,31,16860,548,18.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Mariposa",38,2023-09-17,2023-09-23,1095,34,16860,649.5,20.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Mariposa",39,2023-09-24,2023-09-30,1231,40,16860,730.1,23.7,"0 - 177K","0 - 875","0 - 5K","22 - 44"
"Central California","Mariposa",40,2023-10-01,2023-10-07,1379,49,16860,817.9,29.1,"0 - 177K","0 - 875","0 - 5K","22 - 44"
"Central California","Mariposa",41,2023-10-08,2023-10-14,1520,53,16860,901.5,31.4,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Mariposa",42,2023-10-15,2023-10-21,1663,60,16860,986.4,35.6,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Mariposa",43,2023-10-22,2023-10-28,1751,66,16860,1038.6,39.1,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Mariposa",44,2023-10-29,2023-11-04,1813,69,16860,1075.3,40.9,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Mariposa",45,2023-11-05,2023-11-11,1872,73,16860,1110.3,43.3,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Mariposa",46,2023-11-12,2023-11-18,1892,75,16860,1122.2,44.5,"0 - 177K","875 - 2K","0 - 5K","44 - 66"
"Central California","Mariposa",47,2023-11-19,2023-11-25,1894,76,16860,1123.4,45.1,"0 - 177K","875 - 2K","0 - 5K","44 - 66"
"Central California","Mariposa",48,2023-11-26,2023-12-02,1897,77,16860,1125.1,45.7,"0 - 177K","875 - 2K","0 - 5K","44 - 66"
"Central California","Mariposa",49,2023-12-03,2023-12-09,1897,77,16860,1125.1,45.7,"0 - 177K","875 - 2K","0 - 5K","44 - 66"
"Central California","Mariposa",50,2023-12-10,2023-12-16,1900,77,16860,1126.9,45.7,"0 - 177K","875 - 2K","0 - 5K","44 - 66"
"Central California","Mariposa",51,2023-12-17,2023-12-23,1900,77,16860,1126.9,45.7,"0 - 177K","875 - 2K","0 - 5K","44 - 66"
"Central California","Mariposa",52,2023-12-24,2023-12-30,1900,77,16860,1126.9,45.7,"0 - 177K","875 - 2K","0 - 5K","44 - 66"
"Central California","Merced",22,2023-05-28,2023-06-03,206,0,285600,7.2,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Merced",23,2023-06-04,2023-06-10,430,0,285600,15.1,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Merced",24,2023-06-11,2023-06-17,575,4,285600,20.1,0.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Merced",25,2023-06-18,2023-06-24,1085,8,285600,38,0.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Merced",26,2023-06-25,2023-07-01,1988,10,285600,69.6,0.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Merced",27,2023-07-02,2023-07-08,3014,20,285600,105.5,0.7,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Merced",28,2023-07-09,2023-07-15,4392,42,285600,153.8,1.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Merced",29,2023-07-16,2023-07-22,5462,73,285600,191.2,2.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Merced",30,2023-07-23,2023-07-29,6579,109,285600,230.4,3.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Merced",31,2023-07-30,2023-08-05,8590,130,285600,300.8,4.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Merced",32,2023-08-06,2023-08-12,10620,153,285600,371.8,5.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Merced",33,2023-08-13,2023-08-19,13101,204,285600,458.7,7.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Merced",34,2023-08-20,2023-08-26,16712,252,285600,585.2,8.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Merced",35,2023-08-27,2023-09-02,22400,297,285600,784.3,10.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Merced",36,2023-09-03,2023-09-09,27887,373,285600,976.4,13.1,"0 - 177K","875 - 2K","0 - 5K","0 - 22"
"Central California","Merced",37,2023-09-10,2023-09-16,32891,477,285600,1151.6,16.7,"0 - 177K","875 - 2K","0 - 5K","0 - 22"
"Central California","Merced",38,2023-09-17,2023-09-23,38407,621,285600,1344.8,21.7,"0 - 177K","875 - 2K","0 - 5K","0 - 22"
"Central California","Merced",39,2023-09-24,2023-09-30,42906,744,285600,1502.3,26.1,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Merced",40,2023-10-01,2023-10-07,47493,873,285600,1662.9,30.6,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Merced",41,2023-10-08,2023-10-14,51863,990,285600,1815.9,34.7,"0 - 177K","2K - 3K","0 - 5K","22 - 44"
"Central California","Merced",42,2023-10-15,2023-10-21,56335,1097,285600,1972.5,38.4,"0 - 177K","2K - 3K","0 - 5K","22 - 44"
"Central California","Merced",43,2023-10-22,2023-10-28,59800,1193,285600,2093.8,41.8,"0 - 177K","2K - 3K","0 - 5K","22 - 44"
"Central California","Merced",44,2023-10-29,2023-11-04,62196,1297,285600,2177.7,45.4,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Merced",45,2023-11-05,2023-11-11,63753,1390,285600,2232.2,48.7,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Merced",46,2023-11-12,2023-11-18,64300,1469,285600,2251.4,51.4,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Merced",47,2023-11-19,2023-11-25,64385,1520,285600,2254.4,53.2,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Merced",48,2023-11-26,2023-12-02,64492,1528,285600,2258.1,53.5,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Merced",49,2023-12-03,2023-12-09,64492,1530,285600,2258.1,53.6,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Merced",50,2023-12-10,2023-12-16,64591,1532,285600,2261.6,53.6,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Merced",51,2023-12-17,2023-12-23,64591,1533,285600,2261.6,53.7,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Merced",52,2023-12-24,2023-12-30,64591,1536,285600,2261.6,53.8,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","San Joaquin",22,2023-05-28,2023-06-03,475,0,784528,6.1,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","San Joaquin",23,2023-06-04,2023-06-10,929,0,784528,11.8,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","San Joaquin",24,2023-06-11,2023-06-17,1338,18,784528,17.1,0.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","San Joaquin",25,2023-06-18,2023-06-24,2541,33,784528,32.4,0.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","San Joaquin",26,2023-06-25,2023-07-01,4574,49,784528,58.3,0.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","San Joaquin",27,2023-07-02,2023-07-08,6997,73,784528,89.2,0.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","San Joaquin",28,2023-07-09,2023-07-15,10107,126,784528,128.8,1.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","San Joaquin",29,2023-07-16,2023-07-22,12559,177,784528,160.1,2.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","San Joaquin",30,2023-07-23,2023-07-29,15236,245,784528,194.2,3.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","San Joaquin",31,2023-07-30,2023-08-05,19653,307,784528,250.5,3.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","San Joaquin",32,2023-08-06,2023-08-12,24053,388,784528,306.6,4.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","San Joaquin",33,2023-08-13,2023-08-19,29736,502,784528,379,6.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","San Joaquin",34,2023-08-20,2023-08-26,38107,609,784528,485.7,7.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","San Joaquin",35,2023-08-27,2023-09-02,50910,741,784528,648.9,9.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","San Joaquin",36,2023-09-03,2023-09-09,63523,933,784528,809.7,11.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","San Joaquin",37,2023-09-10,2023-09-16,75062,1227,784528,956.8,15.6,"0 - 177K","875 - 2K","0 - 5K","0 - 22"
"Central California","San Joaquin",38,2023-09-17,2023-09-23,88011,1572,784528,1121.8,20,"0 - 177K","875 - 2K","0 - 5K","0 - 22"
"Central California","San Joaquin",39,2023-09-24,2023-09-30,98638,1860,784528,1257.3,23.7,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","San Joaquin",40,2023-10-01,2023-10-07,109355,2222,784528,1393.9,28.3,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","San Joaquin",41,2023-10-08,2023-10-14,119866,2472,784528,1527.9,31.5,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","San Joaquin",42,2023-10-15,2023-10-21,130182,2750,784528,1659.4,35.1,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","San Joaquin",43,2023-10-22,2023-10-28,138617,3027,784528,1766.9,38.6,"0 - 177K","2K - 3K","0 - 5K","22 - 44"
"Central California","San Joaquin",44,2023-10-29,2023-11-04,144119,3282,784528,1837,41.8,"0 - 177K","2K - 3K","0 - 5K","22 - 44"
"Central California","San Joaquin",45,2023-11-05,2023-11-11,148182,3501,784528,1888.8,44.6,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","San Joaquin",46,2023-11-12,2023-11-18,149560,3657,784528,1906.4,46.6,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","San Joaquin",47,2023-11-19,2023-11-25,149738,3759,784528,1908.6,47.9,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","San Joaquin",48,2023-11-26,2023-12-02,149988,3808,784528,1911.8,48.5,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","San Joaquin",49,2023-12-03,2023-12-09,149988,3823,784528,1911.8,48.7,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","San Joaquin",50,2023-12-10,2023-12-16,150261,3828,784528,1915.3,48.8,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","San Joaquin",51,2023-12-17,2023-12-23,150261,3828,784528,1915.3,48.8,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","San Joaquin",52,2023-12-24,2023-12-30,150261,3835,784528,1915.3,48.9,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Stanislaus",22,2023-05-28,2023-06-03,335,0,545704,6.1,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Stanislaus",23,2023-06-04,2023-06-10,700,0,545704,12.8,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Stanislaus",24,2023-06-11,2023-06-17,997,10,545704,18.3,0.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Stanislaus",25,2023-06-18,2023-06-24,1881,15,545704,34.5,0.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Stanislaus",26,2023-06-25,2023-07-01,3361,22,545704,61.6,0.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Stanislaus",27,2023-07-02,2023-07-08,5089,43,545704,93.3,0.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Stanislaus",28,2023-07-09,2023-07-15,7416,75,545704,135.9,1.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Stanislaus",29,2023-07-16,2023-07-22,9127,109,545704,167.3,2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Stanislaus",30,2023-07-23,2023-07-29,10947,161,545704,200.6,3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Stanislaus",31,2023-07-30,2023-08-05,14189,218,545704,260,4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Stanislaus",32,2023-08-06,2023-08-12,17521,264,545704,321.1,4.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Stanislaus",33,2023-08-13,2023-08-19,21640,356,545704,396.6,6.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Stanislaus",34,2023-08-20,2023-08-26,27698,441,545704,507.6,8.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Stanislaus",35,2023-08-27,2023-09-02,37073,548,545704,679.4,10,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Stanislaus",36,2023-09-03,2023-09-09,46162,703,545704,845.9,12.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Stanislaus",37,2023-09-10,2023-09-16,54629,945,545704,1001.1,17.3,"0 - 177K","875 - 2K","0 - 5K","0 - 22"
"Central California","Stanislaus",38,2023-09-17,2023-09-23,64149,1200,545704,1175.5,22,"0 - 177K","875 - 2K","0 - 5K","0 - 22"
"Central California","Stanislaus",39,2023-09-24,2023-09-30,71820,1430,545704,1316.1,26.2,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Stanislaus",40,2023-10-01,2023-10-07,79475,1683,545704,1456.4,30.8,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Stanislaus",41,2023-10-08,2023-10-14,86938,1893,545704,1593.1,34.7,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Stanislaus",42,2023-10-15,2023-10-21,94439,2088,545704,1730.6,38.3,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Stanislaus",43,2023-10-22,2023-10-28,100498,2275,545704,1841.6,41.7,"0 - 177K","2K - 3K","0 - 5K","22 - 44"
"Central California","Stanislaus",44,2023-10-29,2023-11-04,104474,2482,545704,1914.5,45.5,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Stanislaus",45,2023-11-05,2023-11-11,107359,2631,545704,1967.3,48.2,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Stanislaus",46,2023-11-12,2023-11-18,108389,2728,545704,1986.2,50,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Stanislaus",47,2023-11-19,2023-11-25,108526,2816,545704,1988.7,51.6,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Stanislaus",48,2023-11-26,2023-12-02,108691,2858,545704,1991.8,52.4,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Stanislaus",49,2023-12-03,2023-12-09,108691,2873,545704,1991.8,52.6,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Stanislaus",50,2023-12-10,2023-12-16,108872,2877,545704,1995.1,52.7,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Stanislaus",51,2023-12-17,2023-12-23,108872,2878,545704,1995.1,52.7,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Stanislaus",52,2023-12-24,2023-12-30,108872,2882,545704,1995.1,52.8,"0 - 177K","2K - 3K","0 - 5K","44 - 66"
"Central California","Tulare",22,2023-05-28,2023-06-03,345,0,474792,7.3,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Tulare",23,2023-06-04,2023-06-10,709,0,474792,14.9,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Tulare",24,2023-06-11,2023-06-17,1046,2,474792,22,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Tulare",25,2023-06-18,2023-06-24,1948,15,474792,41,0.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Tulare",26,2023-06-25,2023-07-01,3547,21,474792,74.7,0.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Tulare",27,2023-07-02,2023-07-08,5406,50,474792,113.9,1.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Tulare",28,2023-07-09,2023-07-15,7764,86,474792,163.5,1.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Tulare",29,2023-07-16,2023-07-22,9604,140,474792,202.3,2.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Tulare",30,2023-07-23,2023-07-29,11535,201,474792,242.9,4.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Tulare",31,2023-07-30,2023-08-05,14938,246,474792,314.6,5.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Tulare",32,2023-08-06,2023-08-12,18375,295,474792,387,6.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Tulare",33,2023-08-13,2023-08-19,22808,373,474792,480.4,7.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Tulare",34,2023-08-20,2023-08-26,29275,450,474792,616.6,9.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Tulare",35,2023-08-27,2023-09-02,38966,528,474792,820.7,11.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Central California","Tulare",36,2023-09-03,2023-09-09,48614,660,474792,1023.9,13.9,"0 - 177K","875 - 2K","0 - 5K","0 - 22"
"Central California","Tulare",37,2023-09-10,2023-09-16,57362,872,474792,1208.2,18.4,"0 - 177K","875 - 2K","0 - 5K","0 - 22"
"Central California","Tulare",38,2023-09-17,2023-09-23,67032,1099,474792,1411.8,23.1,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Tulare",39,2023-09-24,2023-09-30,74938,1302,474792,1578.3,27.4,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Central California","Tulare",40,2023-10-01,2023-10-07,82837,1527,474792,1744.7,32.2,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
