"health_officer_region","mmwr_week","start_date","end_date","cumulative_infected","cumulative_severe","total_HOR_pop","inf_rate_100k","sev_rate_100k","case_breaks_bins","case_breaks","inf_rate_breaks_bins","inf_rate_breaks","sev_case_breaks_bins","sev_case_breaks","sev_rate_breaks_bins","sev_rate_breaks","lng","lat"
"Rural North",39,2023-09-24,2023-09-30,47083,1189,683715,6886.3,173.9,1,"184 - 215K",2,"4K - 7K",1,"0 - 8K",2,"89 - 179",-122.307595115944,40.7242178632109
"Rural North",40,2023-10-01,2023-10-07,52321,1395,683715,7652.5,204,1,"184 - 215K",3,"7K - 11K",1,"0 - 8K",3,"179 - 269",-122.307595115944,40.7242178632109
"Rural North",41,2023-10-08,2023-10-14,57448,1584,683715,8402.3,231.7,1,"184 - 215K",3,"7K - 11K",1,"0 - 8K",3,"179 - 269",-122.307595115944,40.7242178632109
"Rural North",42,2023-10-15,2023-10-21,62689,1782,683715,9168.9,260.6,1,"184 - 215K",3,"7K - 11K",1,"0 - 8K",3,"179 - 269",-122.307595115944,40.7242178632109
"Rural North",43,2023-10-22,2023-10-28,66911,1955,683715,9786.4,285.9,1,"184 - 215K",3,"7K - 11K",1,"0 - 8K",4,"269 - 359",-122.307595115944,40.7242178632109
"Rural North",44,2023-10-29,2023-11-04,69867,2142,683715,10218.7,313.3,1,"184 - 215K",3,"7K - 11K",1,"0 - 8K",4,"269 - 359",-122.307595115944,40.7242178632109
"Rural North",45,2023-11-05,2023-11-11,71831,2312,683715,10506,338.2,1,"184 - 215K",3,"7K - 11K",1,"0 - 8K",4,"269 - 359",-122.307595115944,40.7242178632109
"Rural North",46,2023-11-12,2023-11-18,72534,2417,683715,10608.8,353.5,1,"184 - 215K",3,"7K - 11K",1,"0 - 8K",4,"269 - 359",-122.307595115944,40.7242178632109
"Rural North",47,2023-11-19,2023-11-25,72622,2502,683715,10621.7,365.9,1,"184 - 215K",3,"7K - 11K",1,"0 - 8K",5,"359 - 448+",-122.307595115944,40.7242178632109
"Rural North",48,2023-11-26,2023-12-02,72762,2539,683715,10642.2,371.4,1,"184 - 215K",3,"7K - 11K",1,"0 - 8K",5,"359 - 448+",-122.307595115944,40.7242178632109
"Rural North",49,2023-12-03,2023-12-09,72762,2549,683715,10642.2,372.8,1,"184 - 215K",3,"7K - 11K",1,"0 - 8K",5,"359 - 448+",-122.307595115944,40.7242178632109
"Rural North",50,2023-12-10,2023-12-16,72896,2553,683715,10661.8,373.4,1,"184 - 215K",3,"7K - 11K",1,"0 - 8K",5,"359 - 448+",-122.307595115944,40.7242178632109
"Rural North",51,2023-12-17,2023-12-23,72896,2554,683715,10661.8,373.5,1,"184 - 215K",3,"7K - 11K",1,"0 - 8K",5,"359 - 448+",-122.307595115944,40.7242178632109
"Rural North",52,2023-12-24,2023-12-30,72896,2559,683715,10661.8,374.3,1,"184 - 215K",3,"7K - 11K",1,"0 - 8K",5,"359 - 448+",-122.307595115944,40.7242178632109
"Southern California",22,2023-05-28,2023-06-03,4622,0,12802429,36.1,0,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-117.01927105958,34.8961577668423
"Southern California",23,2023-06-04,2023-06-10,9181,0,12802429,71.7,0,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-117.01927105958,34.8961577668423
"Southern California",24,2023-06-11,2023-06-17,13237,112,12802429,103.4,0.9,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-117.01927105958,34.8961577668423
"Southern California",25,2023-06-18,2023-06-24,25217,226,12802429,197,1.8,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-117.01927105958,34.8961577668423
"Southern California",26,2023-06-25,2023-07-01,44842,346,12802429,350.3,2.7,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-117.01927105958,34.8961577668423
"Southern California",27,2023-07-02,2023-07-08,67952,613,12802429,530.8,4.8,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-117.01927105958,34.8961577668423
"Southern California",28,2023-07-09,2023-07-15,98412,1109,12802429,768.7,8.7,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-117.01927105958,34.8961577668423
"Southern California",29,2023-07-16,2023-07-22,122081,1726,12802429,953.6,13.5,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-117.01927105958,34.8961577668423
"Southern California",30,2023-07-23,2023-07-29,147293,2493,12802429,1150.5,19.5,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-117.01927105958,34.8961577668423
"Southern California",31,2023-07-30,2023-08-05,191723,3186,12802429,1497.6,24.9,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-117.01927105958,34.8961577668423
"Southern California",32,2023-08-06,2023-08-12,235918,3911,12802429,1842.8,30.5,2,"215K - 430K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-117.01927105958,34.8961577668423
"Southern California",33,2023-08-13,2023-08-19,291298,5077,12802429,2275.3,39.7,2,"215K - 430K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-117.01927105958,34.8961577668423
"Southern California",34,2023-08-20,2023-08-26,374306,6261,12802429,2923.7,48.9,2,"215K - 430K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-117.01927105958,34.8961577668423
"Southern California",35,2023-08-27,2023-09-02,502872,7718,12802429,3927.9,60.3,3,"430K - 645K",2,"4K - 7K",1,"0 - 8K",1,"0 - 89",-117.01927105958,34.8961577668423
"Southern California",36,2023-09-03,2023-09-09,627294,9842,12802429,4899.8,76.9,3,"430K - 645K",2,"4K - 7K",2,"8K - 17K",1,"0 - 89",-117.01927105958,34.8961577668423
"Southern California",37,2023-09-10,2023-09-16,743138,13186,12802429,5804.7,103,4,"645K - 859K",2,"4K - 7K",2,"8K - 17K",2,"89 - 179",-117.01927105958,34.8961577668423
"Southern California",38,2023-09-17,2023-09-23,874336,16552,12802429,6829.5,129.3,5,"859K - 1M",2,"4K - 7K",2,"8K - 17K",2,"89 - 179",-117.01927105958,34.8961577668423
"Southern California",39,2023-09-24,2023-09-30,980528,19883,12802429,7658.9,155.3,5,"859K - 1M",3,"7K - 11K",3,"17K - 25K",2,"89 - 179",-117.01927105958,34.8961577668423
"Southern California",40,2023-10-01,2023-10-07,1087729,23511,12802429,8496.3,183.6,6,"1M - 1M",3,"7K - 11K",3,"17K - 25K",3,"179 - 269",-117.01927105958,34.8961577668423
"Southern California",41,2023-10-08,2023-10-14,1192203,26628,12802429,9312.3,208,6,"1M - 1M",3,"7K - 11K",4,"25K - 33K",3,"179 - 269",-117.01927105958,34.8961577668423
"Southern California",42,2023-10-15,2023-10-21,1299078,29568,12802429,10147.1,231,7,"1M - 2M+",3,"7K - 11K",4,"25K - 33K",3,"179 - 269",-117.01927105958,34.8961577668423
"Southern California",43,2023-10-22,2023-10-28,1384960,32333,12802429,10817.9,252.6,7,"1M - 2M+",3,"7K - 11K",4,"25K - 33K",3,"179 - 269",-117.01927105958,34.8961577668423
"Southern California",44,2023-10-29,2023-11-04,1442275,35255,12802429,11265.6,275.4,7,"1M - 2M+",4,"11K - 15K",5,"33K - 42K+",4,"269 - 359",-117.01927105958,34.8961577668423
"Southern California",45,2023-11-05,2023-11-11,1482859,37735,12802429,11582.6,294.7,7,"1M - 2M+",4,"11K - 15K",5,"33K - 42K+",4,"269 - 359",-117.01927105958,34.8961577668423
"Southern California",46,2023-11-12,2023-11-18,1496896,39531,12802429,11692.3,308.8,7,"1M - 2M+",4,"11K - 15K",5,"33K - 42K+",4,"269 - 359",-117.01927105958,34.8961577668423
"Southern California",47,2023-11-19,2023-11-25,1498793,40738,12802429,11707.1,318.2,7,"1M - 2M+",4,"11K - 15K",5,"33K - 42K+",4,"269 - 359",-117.01927105958,34.8961577668423
"Southern California",48,2023-11-26,2023-12-02,1501354,41337,12802429,11727.1,322.9,7,"1M - 2M+",4,"11K - 15K",5,"33K - 42K+",4,"269 - 359",-117.01927105958,34.8961577668423
"Southern California",49,2023-12-03,2023-12-09,1501354,41476,12802429,11727.1,324,7,"1M - 2M+",4,"11K - 15K",5,"33K - 42K+",4,"269 - 359",-117.01927105958,34.8961577668423
"Southern California",50,2023-12-10,2023-12-16,1503964,41575,12802429,11747.5,324.7,7,"1M - 2M+",4,"11K - 15K",5,"33K - 42K+",4,"269 - 359",-117.01927105958,34.8961577668423
"Southern California",51,2023-12-17,2023-12-23,1503964,41587,12802429,11747.5,324.8,7,"1M - 2M+",4,"11K - 15K",5,"33K - 42K+",4,"269 - 359",-117.01927105958,34.8961577668423
"Southern California",52,2023-12-24,2023-12-30,1503964,41650,12802429,11747.5,325.3,7,"1M - 2M+",4,"11K - 15K",5,"33K - 42K+",4,"269 - 359",-117.01927105958,34.8961577668423
