"health_officer_region","county","mmwr_week","start_date","end_date","cumulative_infected","cumulative_severe","total_cnty_pop","inf_rate_100k","sev_rate_100k","case_breaks_bins","case_breaks","inf_rate_breaks_bins","inf_rate_breaks","sev_case_breaks_bins","sev_case_breaks","sev_rate_breaks_bins","sev_rate_breaks"
"Central California","Madera",39,2023-09-24,2023-09-30,10744,229,158457,6780.4,144.5,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Madera",40,2023-10-01,2023-10-07,12032,270,158457,7593.2,170.4,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Madera",41,2023-10-08,2023-10-14,13249,303,158457,8361.3,191.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Madera",42,2023-10-15,2023-10-21,14458,338,158457,9124.2,213.3,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Madera",43,2023-10-22,2023-10-28,15552,367,158457,9814.7,231.6,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Madera",44,2023-10-29,2023-11-04,16208,391,158457,10228.6,246.8,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Madera",45,2023-11-05,2023-11-11,16696,416,158457,10536.6,262.5,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Madera",46,2023-11-12,2023-11-18,16855,429,158457,10637,270.7,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Madera",47,2023-11-19,2023-11-25,16876,437,158457,10650.2,275.8,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Madera",48,2023-11-26,2023-12-02,16911,443,158457,10672.3,279.6,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Madera",49,2023-12-03,2023-12-09,16911,445,158457,10672.3,280.8,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Madera",50,2023-12-10,2023-12-16,16943,445,158457,10692.5,280.8,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Madera",51,2023-12-17,2023-12-23,16943,445,158457,10692.5,280.8,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Madera",52,2023-12-24,2023-12-30,16943,448,158457,10692.5,282.7,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Mariposa",22,2023-05-28,2023-06-03,5,0,16860,29.7,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Mariposa",23,2023-06-04,2023-06-10,12,0,16860,71.2,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Mariposa",24,2023-06-11,2023-06-17,21,0,16860,124.6,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Mariposa",25,2023-06-18,2023-06-24,31,0,16860,183.9,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Mariposa",26,2023-06-25,2023-07-01,57,1,16860,338.1,5.9,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Mariposa",27,2023-07-02,2023-07-08,93,1,16860,551.6,5.9,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Mariposa",28,2023-07-09,2023-07-15,137,2,16860,812.6,11.9,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Mariposa",29,2023-07-16,2023-07-22,168,3,16860,996.4,17.8,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Mariposa",30,2023-07-23,2023-07-29,198,6,16860,1174.4,35.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Mariposa",31,2023-07-30,2023-08-05,249,6,16860,1476.9,35.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Mariposa",32,2023-08-06,2023-08-12,302,6,16860,1791.2,35.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Mariposa",33,2023-08-13,2023-08-19,375,10,16860,2224.2,59.3,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Mariposa",34,2023-08-20,2023-08-26,486,16,16860,2882.6,94.9,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Mariposa",35,2023-08-27,2023-09-02,631,22,16860,3742.6,130.5,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Mariposa",36,2023-09-03,2023-09-09,779,25,16860,4620.4,148.3,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Mariposa",37,2023-09-10,2023-09-16,924,31,16860,5480.4,183.9,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Mariposa",38,2023-09-17,2023-09-23,1095,34,16860,6494.7,201.7,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Mariposa",39,2023-09-24,2023-09-30,1231,40,16860,7301.3,237.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Mariposa",40,2023-10-01,2023-10-07,1379,49,16860,8179.1,290.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Mariposa",41,2023-10-08,2023-10-14,1520,53,16860,9015.4,314.4,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Mariposa",42,2023-10-15,2023-10-21,1663,60,16860,9863.6,355.9,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Mariposa",43,2023-10-22,2023-10-28,1751,66,16860,10385.5,391.5,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Mariposa",44,2023-10-29,2023-11-04,1813,69,16860,10753.3,409.3,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Mariposa",45,2023-11-05,2023-11-11,1872,73,16860,11103.2,433,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Mariposa",46,2023-11-12,2023-11-18,1892,75,16860,11221.8,444.8,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","Mariposa",47,2023-11-19,2023-11-25,1894,76,16860,11233.7,450.8,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","Mariposa",48,2023-11-26,2023-12-02,1897,77,16860,11251.5,456.7,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","Mariposa",49,2023-12-03,2023-12-09,1897,77,16860,11251.5,456.7,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","Mariposa",50,2023-12-10,2023-12-16,1900,77,16860,11269.3,456.7,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","Mariposa",51,2023-12-17,2023-12-23,1900,77,16860,11269.3,456.7,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","Mariposa",52,2023-12-24,2023-12-30,1900,77,16860,11269.3,456.7,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","Merced",22,2023-05-28,2023-06-03,206,0,285600,72.1,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Merced",23,2023-06-04,2023-06-10,430,0,285600,150.6,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Merced",24,2023-06-11,2023-06-17,575,4,285600,201.3,1.4,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Merced",25,2023-06-18,2023-06-24,1085,8,285600,379.9,2.8,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Merced",26,2023-06-25,2023-07-01,1988,10,285600,696.1,3.5,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Merced",27,2023-07-02,2023-07-08,3014,20,285600,1055.3,7,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Merced",28,2023-07-09,2023-07-15,4392,42,285600,1537.8,14.7,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Merced",29,2023-07-16,2023-07-22,5462,73,285600,1912.5,25.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Merced",30,2023-07-23,2023-07-29,6579,109,285600,2303.6,38.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Merced",31,2023-07-30,2023-08-05,8590,130,285600,3007.7,45.5,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Merced",32,2023-08-06,2023-08-12,10620,153,285600,3718.5,53.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Merced",33,2023-08-13,2023-08-19,13101,204,285600,4587.2,71.4,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Merced",34,2023-08-20,2023-08-26,16712,252,285600,5851.5,88.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Merced",35,2023-08-27,2023-09-02,22400,297,285600,7843.1,104,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Merced",36,2023-09-03,2023-09-09,27887,373,285600,9764.4,130.6,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Merced",37,2023-09-10,2023-09-16,32891,477,285600,11516.5,167,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Merced",38,2023-09-17,2023-09-23,38407,621,285600,13447.8,217.4,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Merced",39,2023-09-24,2023-09-30,42906,744,285600,15023.1,260.5,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Merced",40,2023-10-01,2023-10-07,47493,873,285600,16629.2,305.7,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Merced",41,2023-10-08,2023-10-14,51863,990,285600,18159.3,346.6,"0 - 126,593","0 - 127K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Merced",42,2023-10-15,2023-10-21,56335,1097,285600,19725.1,384.1,"0 - 126,593","0 - 127K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Merced",43,2023-10-22,2023-10-28,59800,1193,285600,20938.4,417.7,"0 - 126,593","0 - 127K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Merced",44,2023-10-29,2023-11-04,62196,1297,285600,21777.3,454.1,"0 - 126,593","0 - 127K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","Merced",45,2023-11-05,2023-11-11,63753,1390,285600,22322.5,486.7,"0 - 126,593","0 - 127K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","Merced",46,2023-11-12,2023-11-18,64300,1469,285600,22514,514.4,"0 - 126,593","0 - 127K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","Merced",47,2023-11-19,2023-11-25,64385,1520,285600,22543.8,532.2,"0 - 126,593","0 - 127K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","Merced",48,2023-11-26,2023-12-02,64492,1528,285600,22581.2,535,"0 - 126,593","0 - 127K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","Merced",49,2023-12-03,2023-12-09,64492,1530,285600,22581.2,535.7,"0 - 126,593","0 - 127K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","Merced",50,2023-12-10,2023-12-16,64591,1532,285600,22615.9,536.4,"0 - 126,593","0 - 127K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","Merced",51,2023-12-17,2023-12-23,64591,1533,285600,22615.9,536.8,"0 - 126,593","0 - 127K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","Merced",52,2023-12-24,2023-12-30,64591,1536,285600,22615.9,537.8,"0 - 126,593","0 - 127K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","San Joaquin",22,2023-05-28,2023-06-03,475,0,784528,60.5,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","San Joaquin",23,2023-06-04,2023-06-10,929,0,784528,118.4,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","San Joaquin",24,2023-06-11,2023-06-17,1338,18,784528,170.5,2.3,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","San Joaquin",25,2023-06-18,2023-06-24,2541,33,784528,323.9,4.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","San Joaquin",26,2023-06-25,2023-07-01,4574,49,784528,583,6.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","San Joaquin",27,2023-07-02,2023-07-08,6997,73,784528,891.9,9.3,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","San Joaquin",28,2023-07-09,2023-07-15,10107,126,784528,1288.3,16.1,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","San Joaquin",29,2023-07-16,2023-07-22,12559,177,784528,1600.8,22.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","San Joaquin",30,2023-07-23,2023-07-29,15236,245,784528,1942.1,31.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","San Joaquin",31,2023-07-30,2023-08-05,19653,307,784528,2505.1,39.1,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","San Joaquin",32,2023-08-06,2023-08-12,24053,388,784528,3065.9,49.5,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","San Joaquin",33,2023-08-13,2023-08-19,29736,502,784528,3790.3,64,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","San Joaquin",34,2023-08-20,2023-08-26,38107,609,784528,4857.3,77.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","San Joaquin",35,2023-08-27,2023-09-02,50910,741,784528,6489.3,94.5,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","San Joaquin",36,2023-09-03,2023-09-09,63523,933,784528,8097,118.9,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","San Joaquin",37,2023-09-10,2023-09-16,75062,1227,784528,9567.8,156.4,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","San Joaquin",38,2023-09-17,2023-09-23,88011,1572,784528,11218.3,200.4,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","San Joaquin",39,2023-09-24,2023-09-30,98638,1860,784528,12572.9,237.1,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","San Joaquin",40,2023-10-01,2023-10-07,109355,2222,784528,13939,283.2,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","San Joaquin",41,2023-10-08,2023-10-14,119866,2472,784528,15278.7,315.1,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","San Joaquin",42,2023-10-15,2023-10-21,130182,2750,784528,16593.7,350.5,"126,593 - 253,187","127K - 253K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","San Joaquin",43,2023-10-22,2023-10-28,138617,3027,784528,17668.8,385.8,"126,593 - 253,187","127K - 253K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","San Joaquin",44,2023-10-29,2023-11-04,144119,3282,784528,18370.2,418.3,"126,593 - 253,187","127K - 253K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","San Joaquin",45,2023-11-05,2023-11-11,148182,3501,784528,18888,446.3,"126,593 - 253,187","127K - 253K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","San Joaquin",46,2023-11-12,2023-11-18,149560,3657,784528,19063.7,466.1,"126,593 - 253,187","127K - 253K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","San Joaquin",47,2023-11-19,2023-11-25,149738,3759,784528,19086.4,479.1,"126,593 - 253,187","127K - 253K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","San Joaquin",48,2023-11-26,2023-12-02,149988,3808,784528,19118.2,485.4,"126,593 - 253,187","127K - 253K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","San Joaquin",49,2023-12-03,2023-12-09,149988,3823,784528,19118.2,487.3,"126,593 - 253,187","127K - 253K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","San Joaquin",50,2023-12-10,2023-12-16,150261,3828,784528,19153,487.9,"126,593 - 253,187","127K - 253K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","San Joaquin",51,2023-12-17,2023-12-23,150261,3828,784528,19153,487.9,"126,593 - 253,187","127K - 253K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","San Joaquin",52,2023-12-24,2023-12-30,150261,3835,784528,19153,488.8,"126,593 - 253,187","127K - 253K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","Stanislaus",22,2023-05-28,2023-06-03,335,0,545704,61.4,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Stanislaus",23,2023-06-04,2023-06-10,700,0,545704,128.3,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Stanislaus",24,2023-06-11,2023-06-17,997,10,545704,182.7,1.8,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Stanislaus",25,2023-06-18,2023-06-24,1881,15,545704,344.7,2.7,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Stanislaus",26,2023-06-25,2023-07-01,3361,22,545704,615.9,4,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Stanislaus",27,2023-07-02,2023-07-08,5089,43,545704,932.6,7.9,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Stanislaus",28,2023-07-09,2023-07-15,7416,75,545704,1359,13.7,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Stanislaus",29,2023-07-16,2023-07-22,9127,109,545704,1672.5,20,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Stanislaus",30,2023-07-23,2023-07-29,10947,161,545704,2006,29.5,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Stanislaus",31,2023-07-30,2023-08-05,14189,218,545704,2600.1,39.9,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Stanislaus",32,2023-08-06,2023-08-12,17521,264,545704,3210.7,48.4,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Stanislaus",33,2023-08-13,2023-08-19,21640,356,545704,3965.5,65.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Stanislaus",34,2023-08-20,2023-08-26,27698,441,545704,5075.6,80.8,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Stanislaus",35,2023-08-27,2023-09-02,37073,548,545704,6793.6,100.4,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Stanislaus",36,2023-09-03,2023-09-09,46162,703,545704,8459.2,128.8,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Stanislaus",37,2023-09-10,2023-09-16,54629,945,545704,10010.7,173.2,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Stanislaus",38,2023-09-17,2023-09-23,64149,1200,545704,11755.3,219.9,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Central California","Stanislaus",39,2023-09-24,2023-09-30,71820,1430,545704,13161,262,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Stanislaus",40,2023-10-01,2023-10-07,79475,1683,545704,14563.8,308.4,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Stanislaus",41,2023-10-08,2023-10-14,86938,1893,545704,15931.3,346.9,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Stanislaus",42,2023-10-15,2023-10-21,94439,2088,545704,17305.9,382.6,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Stanislaus",43,2023-10-22,2023-10-28,100498,2275,545704,18416.2,416.9,"0 - 126,593","0 - 127K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Central California","Stanislaus",44,2023-10-29,2023-11-04,104474,2482,545704,19144.8,454.8,"0 - 126,593","0 - 127K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","Stanislaus",45,2023-11-05,2023-11-11,107359,2631,545704,19673.5,482.1,"0 - 126,593","0 - 127K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","Stanislaus",46,2023-11-12,2023-11-18,108389,2728,545704,19862.2,499.9,"0 - 126,593","0 - 127K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
"Central California","Stanislaus",47,2023-11-19,2023-11-25,108526,2816,545704,19887.3,516,"0 - 126,593","0 - 127K","17,506 - 26,260","18K - 26K","0 - 5,021","0 - 5K","442 - 663","442 - 663"
